cycle,range_bin,doppler_bin,output_hex
1227785000,24,28,ffe7ff66
1227795000,24,29,ff6000ce
1227805000,24,30,01cc0121
1227815000,24,31,fef7fe20
1232885000,25,0,fff2002b
1232895000,25,1,0050006c
1232905000,25,2,ffabffa9
1232915000,25,3,ff89013d
1232925000,25,4,014cfdd4
1232935000,25,5,001e01fe
1232945000,25,6,fe90ff16
1232955000,25,7,0083019a
1232965000,25,8,0106fd55
1232975000,25,9,fe8f0196
1232985000,25,10,0022fed0
1232995000,25,11,014300e4
1233005000,25,12,ffb5ffa3
1233015000,25,13,fe5d0069
1233025000,25,14,0168ff11
1233035000,25,15,ffc00194
1233045000,25,16,013aff0f
1233055000,25,17,fd5cffba
1233065000,25,18,028300bd
1233075000,25,19,fe830041
1233085000,25,20,0026fda0
1233095000,25,21,ffe80388
1233105000,25,22,0110fd46
1233115000,25,23,ff530104
1233125000,25,24,008eff41
1233135000,25,25,ff41ffe4
1233145000,25,26,fffc007e
1233155000,25,27,0011001a
1233165000,25,28,ffe10059
1233175000,25,29,ffb1ff79
1233185000,25,30,ffc4015f
1233195000,25,31,009afe8a
1238265000,26,0,00cfff41
1238275000,26,1,ff330087
1238285000,26,2,01120018
1238295000,26,3,ff0e001d
1238305000,26,4,00a4ff56
1238315000,26,5,ff3101d2
1238325000,26,6,004dfed8
1238335000,26,7,008a003e
1238345000,26,8,fec4fef7
1238355000,26,9,011a01d5
1238365000,26,10,fef8fe0f
1238375000,26,11,00bb0157
1238385000,26,12,fefffe33
1238395000,26,13,01340186
1238405000,26,14,ff8bffc7
1238415000,26,15,ff5500fc
1238425000,26,16,015fff57
1238435000,26,17,fe790087
1238445000,26,18,008afe56
1238455000,26,19,ffb00265
1238465000,26,20,0130fe5c
1238475000,26,21,fe31022e
1238485000,26,22,01fbfd0c
1238495000,26,23,ff1a0240
1238505000,26,24,016afebd
1238515000,26,25,feae0055
1238525000,26,26,0064ff4b
1238535000,26,27,00ef0247
1238545000,26,28,ff21fd8f
1238555000,26,29,febe00e2
1238565000,26,30,0285009d
1238575000,26,31,fe37fef6
1243645000,27,0,019a0142
1243655000,27,1,fee0fece
1243665000,27,2,fff500cc
1243675000,27,3,ffa50005
1243685000,27,4,01a2ff5a
1243695000,27,5,fef400b4
1243705000,27,6,000bffbc
1243715000,27,7,00f200d2
1243725000,27,8,fe91fe36
1243735000,27,9,00e800cd
1243745000,27,10,ff870053
1243755000,27,11,005b009e
1243765000,27,12,fe28fd79
1243775000,27,13,018f0251
1243785000,27,14,ffadff5d
1243795000,27,15,ffe900a6
1243805000,27,16,019cfecc
1243815000,27,17,fd20015a
1243825000,27,18,0231ff52
1243835000,27,19,ff0d0099
1243845000,27,20,00a4fec8
1243855000,27,21,fef00332
1243865000,27,22,013dfcbc
1243875000,27,23,ff7e018c
1243885000,27,24,00ddff30
1243895000,27,25,ff500063
1243905000,27,26,002ffe2f
1243915000,27,27,006f0298
1243925000,27,28,005efe89
1243935000,27,29,fe250011
1243945000,27,30,01af0113
1243955000,27,31,fe6bfe68
1249025000,28,0,018c000a
1249035000,28,1,fef00042
1249045000,28,2,ff69ff76
1249055000,28,3,01820094
1249065000,28,4,0070ff57
1249075000,28,5,fe8000f3
1249085000,28,6,ffddff05
1249095000,28,7,01a70218
